Region,Plot,Stems,Species,FisherAlpha,ShannonH,Topography,Age,Ppt,PptDry
1,1,400,84,31.41,3.13,2,3,2589,697
1,2,409,90,35.67,3.9,2,3,2586,696
1,3,365,98,40.91,3.82,2,3,2579,695
1,4,450,87,33.92,4.06,2,3,2572,693
1,5,364,93,32.8,3.43,2,3,2594,697
1,6,480,75,22.67,3.62,2,3,2589,697
1,7,457,78,28.81,3.89,1,2,2529,667
1,8,467,75,25.73,3.7,3,3,2516,647
1,9,461,74,23.59,3.02,3,2,2497,618
1,10,429,60,16.15,3.89,3,2,2576,659
1,11,519,92,38.53,3.66,1,3,2535,652
2,12,380,50,17.48,3.95,3,1,1888,524
2,13,560,49,17.96,3.54,3,1,1890,525
2,14,503,57,23.57,3.91,3,1,1892,525
2,15,403,58,21.49,3.65,3,1,1887,524
2,16,172,65,23.33,3.79,3,1,1969,568
2,17,186,64,24.83,3.98,3,1,2096,638
3,18,449,63,21.02,3.43,1,2,2993,720
3,19,520,84,32.03,3.33,3,3,3072,780
3,20,647,74,28.02,2.44,3,1,3007,811
3,21,381,94,54.76,3.93,3,1,3000,810
3,22,409,88,31.16,3.76,3,2,3026,792
3,23,408,81,26.63,3.97,3,2,3026,792
3,24,407,65,20.2,3.74,3,2,3028,792
3,25,526,75,23.92,3.42,3,2,3030,793
3,26,597,70,17.4,2.65,3,1,3032,793
4,27,531,71,26.33,3.75,2,2,2414,621
4,28,484,78,26.41,3.55,3,2,2394,612
4,29,526,93,39.27,3.81,3,1,2438,638
4,30,954,94,32.32,3.06,3,3,2456,635
4,31,424,107,41.6,3.53,3,3,2889,924
4,32,534,91,34.13,3.7,1,3,2455,646
4,33,405,90,33.17,3.76,3,3,2502,707
4,34,508,63,19.73,3.37,3,3,2471,679
4,35,579,86,32.37,2.7,1,2,2511,645
4,36,557,89,30.92,2.95,3,1,2688,743
4,37,593,90,31.01,3.8,3,1,2658,737
5,38,485,78,28.73,3.41,3,1,2411,662
5,39,393,75,24.3,3.45,3,1,2514,722
5,40,408,60,16.82,3.33,3,2,2248,585
5,41,355,60,17.07,3.33,3,2,2280,602
5,42,302,84,26.26,3.16,3,2,2334,641
5,43,466,76,25.3,4.55,3,2,2252,591
5,44,148,61,20.21,4.4,3,1,2305,681
5,45,191,62,20.35,4.11,3,1,2294,668
